City Name,City ID,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind speed,Country,Date
tiksi,2015306,71.6872,128.8694,243.35,88,100,2.24,RU,10/01/2021
binga,895057,-17.6203,27.3414,295.76,89,100,0.78,ZW,10/01/2021
colares,2269142,38.7992,-9.4469,278.71,68,70,8.55,PT,10/01/2021
ilulissat,3423146,69.2167,-51.1,266.15,49,75,7.2,GL,10/01/2021
adrar,2381972,20.5022,-10.0711,287.33,43,0,7.85,MR,10/01/2021
saint george,5546220,37.1041,-113.5841,280.15,36,1,2.54,US,10/01/2021
yeppoon,2142316,-23.1333,150.7333,302.15,54,90,6.17,AU,10/01/2021
saint anthony,5044290,45.0205,-93.218,266.15,93,90,1.54,US,10/01/2021
bakel,2252606,14.905,-12.4568,295.45,37,32,5.7,SN,10/01/2021
goma,216281,-1.6792,29.2228,289.55,75,98,1.23,CD,10/01/2021
port lincoln,2063036,-34.7333,135.8667,303.1,27,58,6.9,AU,10/01/2021
tukrah,88834,32.5341,20.5791,293.46,39,29,6.29,LY,10/01/2021
sobolevo,525426,54.4299,31.8996,261.35,96,61,2.46,RU,10/01/2021
guangshui,1809879,31.6199,113.9978,278.6,48,89,2.06,CN,10/01/2021
hovd,1516048,48.0056,91.6419,254.23,79,0,0.91,MN,10/01/2021
salta,3838233,-24.7859,-65.4117,294.15,88,75,1.03,AR,10/01/2021
rocha,3440777,-34.4833,-54.3333,288.75,85,44,1.77,UY,10/01/2021
tahe,2034615,52.3333,124.7333,256.55,79,0,4.8,CN,10/01/2021
chengde,2038087,40.9725,117.9361,263.8,68,0,3.14,CN,10/01/2021
hofn,2630299,64.2539,-15.2082,267.59,84,0,7.11,IS,10/01/2021
bilibino,2126682,68.0546,166.4372,240.3,82,42,0.22,RU,10/01/2021
tiznit,2527087,29.5833,-9.5,281.48,85,67,6.22,MA,10/01/2021
zhangjiakou,2033196,40.81,114.8794,261.36,74,59,1.12,CN,10/01/2021
russell,4047434,32.3502,-85.1999,276.15,65,90,3.6,US,10/01/2021
fare,4034496,-16.7,-151.0167,300.48,72,97,5.21,PF,10/01/2021
port blair,1259385,11.6667,92.75,302.15,74,40,2.06,IN,10/01/2021
tuatapere,2180815,-46.1333,167.6833,289.82,77,89,9.39,NZ,10/01/2021
paralimni,146209,35.0375,33.9833,284.15,82,0,1.54,CY,10/01/2021
palmer,4946620,42.1584,-72.3287,272.15,43,20,5.66,US,10/01/2021
leander,4705708,30.5788,-97.8531,280.37,65,90,2.57,US,10/01/2021
mareeba,2158767,-17.0,145.4333,299.82,100,75,0.51,AU,10/01/2021
pochutla,3517970,15.7432,-96.4661,295.37,87,10,0.45,MX,10/01/2021
matagami,6067747,49.7502,-77.6328,266.15,93,90,1.54,CA,10/01/2021
marsh harbour,3571913,26.5412,-77.0636,291.37,67,79,6.31,BS,10/01/2021
fairbanks,5861897,64.8378,-147.7164,260.15,78,75,1.54,US,10/01/2021
henties bay,3356832,-22.116,14.2845,293.15,80,100,0.45,NA,10/01/2021
ovada,3171771,44.6384,8.6453,273.15,92,93,3.75,IT,10/01/2021
acarau,3408368,-2.8856,-40.12,299.15,80,70,5.44,BR,10/01/2021
westport,4845585,41.1415,-73.3579,274.15,37,1,5.66,US,10/01/2021
tecoanapa,3516171,16.5167,-98.75,297.49,83,32,2.4,MX,10/01/2021
abalak,1512223,58.1286,68.5944,247.34,90,83,2.48,RU,10/01/2021
bathsheba,3374083,13.2167,-59.5167,299.15,78,40,9.77,BB,10/01/2021
mar del plata,3430863,-38.0023,-57.5575,291.48,77,0,4.12,AR,10/01/2021
rio grande,3451138,-32.035,-52.0986,296.09,87,63,6.81,BR,10/01/2021
arua,235039,3.0201,30.9111,291.73,78,69,3.88,UG,10/01/2021
meulaboh,1214488,4.1363,96.1285,301.49,68,77,1.25,ID,10/01/2021
alyangula,2079582,-13.8483,136.4192,300.15,89,75,3.6,AU,10/01/2021
